iter	Passed	Remaining
0	159	127631
1	171	68398
2	182	48434
3	195	38844
4	207	33064
5	220	29222
6	233	26485
7	246	24420
8	260	22869
9	273	21637
10	288	20678
11	300	19747
12	314	19014
13	329	18504
14	347	18177
15	361	17702
16	375	17278
17	391	17014
18	404	16626
19	417	16298
20	430	15982
21	443	15701
22	457	15456
23	470	15217
24	485	15060
25	501	14915
26	515	14748
27	529	14597
28	543	14442
29	556	14287
30	569	14138
31	582	13975
32	596	13872
33	610	13762
34	624	13659
35	643	13656
36	661	13641
37	682	13692
38	699	13645
39	718	13645
40	742	13748
41	766	13830
42	792	13945
43	811	13946
44	847	14219
45	862	14137
46	875	14031
47	891	13968
48	905	13881
49	920	13802
50	939	13792
51	956	13756
52	972	13704
53	988	13654
54	1005	13625
55	1023	13596
56	1037	13530
57	1051	13458
58	1065	13385
59	1079	13315
60	1094	13255
61	1107	13180
62	1121	13114
63	1133	13037
64	1146	12967
65	1160	12903
66	1172	12831
67	1184	12753
68	1197	12687
69	1211	12633
70	1226	12588
71	1239	12531
72	1251	12467
73	1264	12404
74	1277	12350
75	1291	12300
76	1304	12248
77	1317	12196
78	1330	12139
79	1343	12089
80	1357	12046
81	1370	12000
82	1384	11961
83	1398	11917
84	1412	11881
85	1425	11837
86	1439	11793
87	1452	11754
88	1466	11713
89	1480	11679
90	1493	11637
91	1507	11597
92	1521	11566
93	1534	11526
94	1547	11486
95	1560	11446
96	1573	11407
97	1587	11370
98	1599	11326
99	1612	11290
100	1625	11251
101	1639	11217
102	1654	11193
103	1667	11156
104	1679	11115
105	1692	11079
106	1706	11053
107	1723	11044
108	1739	11030
109	1755	11009
110	1772	11001
111	1786	10975
112	1800	10949
113	1815	10923
114	1828	10889
115	1841	10860
116	1856	10836
117	1870	10809
118	1884	10784
119	1897	10750
120	1911	10725
121	1923	10690
122	1936	10658
123	1950	10635
124	1964	10607
125	1978	10581
126	1991	10551
127	2004	10523
128	2020	10509
129	2036	10494
130	2052	10483
131	2069	10470
132	2084	10452
133	2096	10422
134	2110	10396
135	2126	10384
136	2140	10356
137	2152	10326
138	2165	10295
139	2178	10270
140	2192	10247
141	2205	10221
142	2218	10193
143	2231	10164
144	2248	10159
145	2264	10141
146	2278	10121
147	2294	10106
148	2308	10086
149	2323	10067
150	2337	10048
151	2351	10024
152	2365	10001
153	2378	9977
154	2392	9957
155	2405	9931
156	2419	9909
157	2434	9890
158	2447	9865
159	2463	9853
160	2481	9848
161	2497	9837
162	2513	9823
163	2527	9801
164	2540	9777
165	2556	9764
166	2571	9746
167	2586	9728
168	2600	9707
169	2615	9693
170	2629	9670
171	2643	9650
172	2658	9634
173	2673	9619
174	2687	9599
175	2702	9580
176	2716	9560
177	2729	9539
178	2743	9517
179	2756	9494
180	2769	9471
181	2783	9451
182	2797	9433
183	2811	9412
184	2824	9390
185	2836	9364
186	2849	9341
187	2862	9319
188	2876	9299
189	2889	9276
190	2905	9262
191	2920	9247
192	2934	9229
193	2948	9210
194	2965	9199
195	2981	9188
196	2995	9169
197	3010	9154
198	3024	9135
199	3038	9116
200	3052	9097
201	3067	9081
202	3082	9064
203	3096	9046
204	3110	9026
205	3123	9006
206	3137	8988
207	3151	8969
208	3167	8956
209	3182	8942
210	3197	8924
211	3210	8904
212	3224	8885
213	3240	8873
214	3257	8862
215	3277	8860
216	3290	8841
217	3304	8820
218	3320	8809
219	3335	8792
220	3348	8771
221	3361	8753
222	3374	8731
223	3387	8709
224	3399	8687
225	3411	8665
226	3424	8643
227	3437	8623
228	3449	8601
229	3463	8582
230	3477	8564
231	3489	8543
232	3501	8519
233	3513	8499
234	3525	8475
235	3538	8456
236	3550	8434
237	3562	8412
238	3574	8390
239	3586	8368
240	3599	8350
241	3613	8332
242	3626	8312
243	3639	8294
244	3653	8276
245	3667	8260
246	3682	8243
247	3694	8224
248	3708	8205
249	3722	8188
250	3737	8175
251	3751	8158
252	3763	8137
253	3777	8120
254	3790	8100
255	3803	8082
256	3816	8062
257	3830	8046
258	3843	8027
259	3856	8008
260	3868	7988
261	3880	7967
262	3893	7948
263	3905	7929
264	3918	7910
265	3930	7890
266	3942	7870
267	3956	7854
268	3971	7839
269	3986	7824
270	3999	7807
271	4013	7791
272	4026	7772
273	4039	7753
274	4052	7735
275	4065	7717
276	4077	7697
277	4089	7678
278	4101	7658
279	4113	7639
280	4126	7620
281	4138	7602
282	4153	7587
283	4166	7570
284	4179	7552
285	4191	7533
286	4205	7516
287	4218	7499
288	4230	7480
289	4245	7467
290	4260	7452
291	4274	7435
292	4288	7421
293	4303	7406
294	4317	7391
295	4332	7377
296	4346	7362
297	4362	7348
298	4376	7333
299	4390	7317
300	4404	7301
301	4419	7287
302	4436	7276
303	4453	7266
304	4471	7256
305	4489	7247
306	4504	7234
307	4517	7215
308	4530	7199
309	4543	7181
310	4556	7164
311	4572	7151
312	4586	7135
313	4599	7118
314	4611	7100
315	4624	7083
316	4637	7065
317	4649	7046
318	4661	7028
319	4673	7010
320	4686	6993
321	4699	6976
322	4713	6960
323	4726	6943
324	4738	6925
325	4753	6910
326	4765	6893
327	4779	6877
328	4794	6864
329	4808	6848
330	4822	6833
331	4837	6819
332	4851	6803
